id,name,dob,role,iban,bic,location_id
3,Velva Shields,1976-07-30,Back-of-house,GB49VHZF63392981589063,AAPUGB21,1
4,Francesco Schinner,1997-07-01,Back-of-house,GB90IBXP65333147911131,ABECGB21,18
5,Annis Murphy,1973-08-05,Chef,GB07WSYW09428726298111,MORLGB2LSMK,15
10,Colby Schneider,1961-09-17,Front-of-house,GB38AWWR50990562708583,ABCEGB2L,10
10,Colby Schneider,1961-09-17,Front-of-house,GB38AWWR50990562708583,ABCEGB2L,21
11,Ebonie Kulas,1981-07-20,Chef,GB23TWJN07114211962422,BRBAGB2LXXX,1
11,Ebonie Kulas,1981-07-20,Chef,GB23TWJN07114211962422,BRBAGB2LXXX,8
13,Susannah Nikolaus,2003-06-19,Front-of-house,GB34RKHB05228084942414,AAPUGB21,25
18,Carey Stark,1983-04-12,Chef,GB09TMGC40313807115422,ANTSGB2LCHA,4
19,Max Von,1973-06-17,Front-of-house,GB95WARH45702360813776,BOFAGB3SSWI,15
26,Marianne Gleason,2004-04-26,Manager,GB57XLTN54112387347041,AAFMGB21,14
26,Marianne Gleason,2004-04-26,Manager,GB57XLTN54112387347041,AAFMGB21,5
34,Mirta Kling,1963-02-24,Chef,GB96HSLT55226111868859,BCYPGB2LSSB,25
38,Wynell Shanahan,1999-12-19,Chef,GB51TZJE18756895115697,BARBGB2LHAR,10
49,Steven Ullrich,1989-01-07,Manager,GB34XEOA54648220572624,AAOGGB21,13
58,Jeromy Crooks,1985-09-16,Chef,GB82ZCKA98732193522802,BCYPGB2LCBB,18
60,Lincoln Ratke,2001-01-17,Manager,GB63RCDH89432369051188,BOFAGB22CLS,7
64,Elisa Walker,1992-02-15,Chef,GB96IQFC03305398810701,BARBGB2LKEN,20
64,Elisa Walker,1992-02-15,Chef,GB96IQFC03305398810701,BARBGB2LKEN,19
65,Letisha Kerluke,1983-11-15,Back-of-house,GB73TEBY11864260859093,ABECGB21,12
65,Letisha Kerluke,1983-11-15,Back-of-house,GB73TEBY11864260859093,ABECGB21,21
66,Shila Kiehn,1992-11-17,Back-of-house,GB30BPAY81605433269975,UBKLGB2LXXX,14
71,Jess Dach,1958-09-07,Manager,GB42SCZZ31902339749661,BARBGB2LMAN,17
71,Jess Dach,1958-09-07,Manager,GB42SCZZ31902339749661,BARBGB2LMAN,2
71,Jess Dach,1958-09-07,Manager,GB42SCZZ31902339749661,BARBGB2LMAN,12
74,Carmelia Windler,1994-03-27,Manager,GB24SKDY60291666614230,ABBYGB2L,20
75,Colby Kihn,1991-12-06,Manager,GB37PGFJ39151205911792,ALEIGB22TSY,15
77,Tim Wiza,1984-01-04,Back-of-house,GB40RQNX21706322621391,BOFAGB4TLTR,14
